Application ID,Campus Applied,Course,Exam Venue,Date,Time,,
46346899,MAIN,BSCpE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 17, 2025",1:30 pm - 4:30 pm,,
68999377,MAIN,BSCpE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 17, 2025",1:30 pm - 4:30 pm,,
35264628,MAIN,BSCpE,Bohol Island State University - BILAR Campus,"Feb 15, 2025",8:30 am -11:30 am,,
11460975,MAIN,BSCpE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 17, 2025",1:30 pm - 4:30 pm,,
46804918,MAIN,AB-PHILOSOPHY,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 24, 2025",8:30 am -11:30 am,,
32569389,MAIN,BSCpE,"Katipunan National High School - Carmen, Bohol","Mar 1, 2025",8:30 am -11:30 am,,
61537255,CLARIN,BSES-CRM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
59431815,CLARIN,BSES-CRM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
81088647,CLARIN,BSES-CRM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
20745846,CLARIN,BSES-CRM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
89458888,CLARIN,BSES-CRM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
44181928,CLARIN,BSES-CRM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
44721972,CLARIN,BSES-CRM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
71436665,CALAPE,BSED-ENGLISH,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
85738601,CALAPE,BSED-ENGLISH,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
83742856,CALAPE,BSED-ENGLISH,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
51507508,CALAPE,BSED-ENGLISH,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
24847633,CALAPE,BSED-ENGLISH,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
51893592,CANDIJAY,BSMB,Bohol Island State University - CANDIJAY Campus,"Jan 22, 2025",8:30 am -11:30 am,,
66531662,CANDIJAY,BSMB,Bohol Island State University - CANDIJAY Campus,"Jan 22, 2025",8:30 am -11:30 am,,
99746589,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
26708573,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
19884293,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
45157252,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
52219506,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
30388085,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",8:30 am -11:30 am,,
